Genes	CH01-06	CH01-14	CH01-22	CH01-38	CH03-04	CH03-15	CH03-33	CH05-01	CH05-06	CH05-07	CH05-09	CH05-14	CH05-21	CH05-29	CH07-04	CH07-06	CH07-08	CH07-11	CH07-24	CH09-02	CH09-13	CH09-28	CH10-08	CH10-11
M_mag.00g001850-v1.0.a1	3	5	2	24	2	6	0	15	3	17	10	13	2	9	25	0	2	1	14	16	0	8	11	8
M_mag.00g001860-v1.0.a1	1	7	15	0	14	4	4	5	7	8	1	6	3	0	6	12	5	5	4	5	0	2	3	6
M_mag.00g001870-v1.0.a1	44	48	71	67	32	63	85	42	21	60	138	50	57	51	25	160	353	367	129	64	34	117	68	25
M_mag.00g001880-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	2
M_mag.00g001890-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g001900-v1.0.a1	47	93	63	78	20	38	50	48	29	23	18	52	47	28	34	74	120	37	55	60	6	39	36	34
M_mag.00g001910-v1.0.a1	24	45	10	23	15	14	16	9	29	23	31	47	31	9	12	24	7	15	8	20	15	5	17	15
M_mag.00g001920-v1.0.a1	7	11	13	27	9	13	14	7	12	7	7	36	14	12	17	23	12	6	18	7	1	7	18	7
M_mag.00g001930-v1.0.a1	29	119	14	85	75	27	12	17	23	21	26	38	39	30	31	62	58	20	26	48	16	9	51	56
M_mag.00g001940-v1.0.a1	8	52	4	32	9	6	15	6	8	9	16	20	25	10	14	13	90	37	7	32	2	2	17	30
M_mag.00g001950-v1.0.a1	229	587	270	365	180	174	315	180	177	111	226	360	169	157	195	295	706	187	346	172	41	127	244	258
M_mag.00g001960-v1.0.a1	4	6	0	1	0	0	2	0	1	0	0	0	2	0	1	9	2	0	1	3	0	0	0	0
M_mag.00g001970-v1.0.a1	17	48	11	19	12	29	37	16	23	3	31	34	20	12	17	9	24	4	25	6	0	32	31	20
M_mag.00g001980-v1.0.a1	15	51	36	36	30	11	25	11	10	12	12	11	28	14	19	37	77	7	44	29	7	2	23	21
M_mag.00g001990-v1.0.a1	79	175	93	104	83	47	69	62	57	49	78	123	45	59	58	49	189	56	86	51	20	53	93	81
M_mag.00g002000-v1.0.a1	99	207	105	128	85	78	179	125	85	125	278	157	117	65	78	178	268	394	143	93	47	133	147	120
M_mag.00g002010-v1.0.a1	10	18	17	13	25	17	27	21	12	43	12	7	9	8	34	18	19	59	36	34	7	52	8	23
M_mag.00g002020-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
